cve,epss,date
CVE-2025-20352,0.00864,2025-10-10
CVE-2025-20362,0.07373,2025-10-10
CVE-2025-21042,0.00198,2025-10-10
CVE-2025-21043,0.11622,2025-10-10
CVE-2025-36897,0.00179,2025-10-10
CVE-2025-48543,0.00084,2025-10-10
CVE-2025-57631,0.00242,2025-10-10
CVE-2025-58321,0.00359,2025-10-10
CVE-2025-58447,0.00256,2025-10-10
CVE-2025-59352,0.00563,2025-10-10
CVE-2025-20352,0.00864,2025-10-14
CVE-2025-20362,0.14083,2025-10-14
CVE-2025-21042,0.00215,2025-10-14
CVE-2025-21043,0.125,2025-10-14
CVE-2025-36897,0.00179,2025-10-14
CVE-2025-48543,0.00084,2025-10-14
CVE-2025-57631,0.00242,2025-10-14
CVE-2025-58321,0.00391,2025-10-14
CVE-2025-58447,0.00279,2025-10-14
CVE-2025-59352,0.00563,2025-10-14
CVE-2025-20352,0.00566,2025-10-18
CVE-2025-20362,0.10156,2025-10-18
CVE-2025-21042,0.00215,2025-10-18
CVE-2025-21043,0.10571,2025-10-18
CVE-2025-36897,0.00179,2025-10-18
CVE-2025-48543,0.00084,2025-10-18
CVE-2025-57631,0.00263,2025-10-18
CVE-2025-58321,0.00391,2025-10-18
CVE-2025-58447,0.00279,2025-10-18
CVE-2025-59352,0.00563,2025-10-18
CVE-2025-20352,0.0084,2025-10-22
CVE-2025-20362,0.16109,2025-10-22
CVE-2025-21042,0.00215,2025-10-22
CVE-2025-21043,0.10571,2025-10-22
CVE-2025-36897,0.00179,2025-10-22
CVE-2025-48543,0.00112,2025-10-22
CVE-2025-57631,0.00263,2025-10-22
CVE-2025-58321,0.00391,2025-10-22
CVE-2025-58447,0.00279,2025-10-22
CVE-2025-59352,0.00613,2025-10-22
CVE-2025-20352,0.00894,2025-10-26
CVE-2025-20362,0.17006,2025-10-26
CVE-2025-21042,0.00215,2025-10-26
CVE-2025-21043,0.10571,2025-10-26
CVE-2025-36897,0.00179,2025-10-26
CVE-2025-48543,0.00175,2025-10-26
CVE-2025-57631,0.00263,2025-10-26
CVE-2025-58321,0.00391,2025-10-26
CVE-2025-58447,0.00279,2025-10-26
CVE-2025-59352,0.00613,2025-10-26
CVE-2025-20352,0.01211,2025-10-30
CVE-2025-20362,0.15123,2025-10-30
CVE-2025-21042,0.00215,2025-10-30
CVE-2025-21043,0.10571,2025-10-30
CVE-2025-36897,0.00179,2025-10-30
CVE-2025-48543,0.00175,2025-10-30
CVE-2025-57631,0.00301,2025-10-30
CVE-2025-58321,0.00391,2025-10-30
CVE-2025-58447,0.00279,2025-10-30
CVE-2025-59352,0.00613,2025-10-30
CVE-2025-20352,0.01211,2025-11-03
CVE-2025-20362,0.11235,2025-11-03
CVE-2025-21042,0.00215,2025-11-03
CVE-2025-21043,0.10199,2025-11-03
CVE-2025-36897,0.00179,2025-11-03
CVE-2025-48543,0.00175,2025-11-03
CVE-2025-57631,0.00301,2025-11-03
CVE-2025-58321,0.00528,2025-11-03
CVE-2025-58447,0.00279,2025-11-03
CVE-2025-59352,0.00613,2025-11-03
CVE-2025-20352,0.01311,2025-11-07
CVE-2025-20362,0.12667,2025-11-07
CVE-2025-21042,0.00215,2025-11-07
CVE-2025-21043,0.10199,2025-11-07
CVE-2025-36897,0.00179,2025-11-07
CVE-2025-48543,0.00175,2025-11-07
CVE-2025-57631,0.00301,2025-11-07
CVE-2025-58321,0.00528,2025-11-07
CVE-2025-58447,0.00279,2025-11-07
CVE-2025-59352,0.00613,2025-11-07
CVE-2025-20352,0.01385,2025-11-11
CVE-2025-20362,0.29718,2025-11-11
CVE-2025-21042,0.21583,2025-11-11
CVE-2025-21043,0.10199,2025-11-11
CVE-2025-36897,0.00187,2025-11-11
CVE-2025-48543,0.00203,2025-11-11
CVE-2025-57631,0.00301,2025-11-11
CVE-2025-58321,0.00528,2025-11-11
CVE-2025-58447,0.00279,2025-11-11
CVE-2025-59352,0.00613,2025-11-11
CVE-2025-20352,0.01385,2025-11-15
CVE-2025-20362,0.29718,2025-11-15
CVE-2025-21042,0.21609,2025-11-15
CVE-2025-21043,0.10199,2025-11-15
CVE-2025-36897,0.00187,2025-11-15
CVE-2025-48543,0.00203,2025-11-15
CVE-2025-57631,0.00301,2025-11-15
CVE-2025-58321,0.00528,2025-11-15
CVE-2025-58447,0.00279,2025-11-15
CVE-2025-59352,0.00613,2025-11-15
CVE-2025-20352,0.01841,2025-11-19
CVE-2025-20362,0.31933,2025-11-19
CVE-2025-21042,0.0477,2025-11-19
CVE-2025-21043,0.21989,2025-11-19
CVE-2025-36897,0.00187,2025-11-19
CVE-2025-48543,0.0051,2025-11-19
CVE-2025-57631,0.00301,2025-11-19
CVE-2025-58321,0.00698,2025-11-19
CVE-2025-58447,0.00291,2025-11-19
CVE-2025-59352,0.00613,2025-11-19
CVE-2025-20352,0.01392,2025-11-23
CVE-2025-20362,0.25178,2025-11-23
CVE-2025-21042,0.03976,2025-11-23
CVE-2025-21043,0.1144,2025-11-23
CVE-2025-36897,0.00187,2025-11-23
CVE-2025-48543,0.00203,2025-11-23
CVE-2025-57631,0.00314,2025-11-23
CVE-2025-58321,0.00698,2025-11-23
CVE-2025-58447,0.00291,2025-11-23
CVE-2025-59352,0.00613,2025-11-23
CVE-2025-20352,0.01392,2025-11-27
CVE-2025-20362,0.25178,2025-11-27
CVE-2025-21042,0.03976,2025-11-27
CVE-2025-21043,0.1144,2025-11-27
CVE-2025-36897,0.00187,2025-11-27
CVE-2025-48543,0.00203,2025-11-27
CVE-2025-57631,0.00314,2025-11-27
CVE-2025-58321,0.00698,2025-11-27
CVE-2025-58447,0.00291,2025-11-27
CVE-2025-59352,0.00641,2025-11-27
CVE-2025-20352,0.01579,2025-12-01
CVE-2025-20362,0.16154,2025-12-01
CVE-2025-21042,0.03976,2025-12-01
CVE-2025-21043,0.1144,2025-12-01
CVE-2025-36897,0.00187,2025-12-01
CVE-2025-48543,0.00203,2025-12-01
CVE-2025-57631,0.00314,2025-12-01
CVE-2025-58321,0.00698,2025-12-01
CVE-2025-58447,0.00291,2025-12-01
CVE-2025-59352,0.00641,2025-12-01
CVE-2025-20352,0.01579,2025-12-05
CVE-2025-20362,0.25952,2025-12-05
CVE-2025-21042,0.03976,2025-12-05
CVE-2025-21043,0.1144,2025-12-05
CVE-2025-36897,0.00187,2025-12-05
CVE-2025-48543,0.00203,2025-12-05
CVE-2025-57631,0.00314,2025-12-05
CVE-2025-58321,0.00698,2025-12-05
CVE-2025-58447,0.00291,2025-12-05
CVE-2025-59352,0.00641,2025-12-05
CVE-2025-20352,0.01579,2025-12-09
CVE-2025-20362,0.25952,2025-12-09
CVE-2025-21042,0.03976,2025-12-09
CVE-2025-21043,0.1144,2025-12-09
CVE-2025-36897,0.00187,2025-12-09
CVE-2025-48543,0.00307,2025-12-09
CVE-2025-57631,0.00314,2025-12-09
CVE-2025-58321,0.00698,2025-12-09
CVE-2025-58447,0.00291,2025-12-09
CVE-2025-59352,0.00641,2025-12-09
CVE-2025-20352,0.01653,2025-12-13
CVE-2025-20362,0.28865,2025-12-13
CVE-2025-21042,0.03976,2025-12-13
CVE-2025-21043,0.1144,2025-12-13
CVE-2025-36897,0.00187,2025-12-13
CVE-2025-48543,0.00307,2025-12-13
CVE-2025-57631,0.00314,2025-12-13
CVE-2025-58321,0.00698,2025-12-13
CVE-2025-58447,0.00291,2025-12-13
